上架日期,申請人數,公司名稱,description,縣市,職稱,工作編號,經度,緯度,major,學歷要求,是否遠距,薪資下限,是否積極徵才,員工人數,搜尋關鍵字,薪資是否為面議,是否要求特定major,八大產業,公司規模,工作經驗,專長工具
20250709,5,今周刊_今周文化事業股份有限公司,"1.【必備】Google Analytics技能。 
2.【必備】熟稔Excel(函數、樞紐分析等工具）和Office各軟體。
3.每週例行性數據分析報表製作，彙整內容/社群等各式數據，問題診斷與研究，提出相關數據洞察和建議。 
4.統整會員讀者",台北市,數據分析師【今周刊─數位內容部】,14090732,25.0519115,121.5261536,[],大學,無遠距,40000,0,217,數據分析,1,0,服務與專業顧問業,大型,2年以上,
20250715,4,藝珂人事顧問股份有限公司,"數據洞察與分析
分析商品分類、顧客行為、流量來源、轉換率等電商關鍵指標，找出成長機會與潛在風險，並建立結構化的分析框架。

策略思維與決策支持
將數據轉化為具行動力的策略建議，提供高階管理層、行銷與業務團隊具前瞻性的報告與洞察。

業務成長機會評估
探索新產品線、新商業模式、潛在合作夥伴等可能性，評估其市場潛力與商業效益。

營運流程優化
跨部門協作，找出流程瓶頸並提出優化方案，提升效率與用戶體驗。",台北市,[電商] 數據分析主管,14739101,25.0406521,121.5652968,[],碩士,無遠距,40000,0,,數據分析,1,0,服務與專業顧問業,未知,8年以上,
20250717,6,錼創顯示科技股份有限公司,"1. 分析生產數據與大數據建模，協助建立品質監測與異常偵測模型，提供優化建議。
2. 參與生產數據的收集、整理與視覺化，協助IT團隊建議決策輔助系統與報表優化。
3. 透過內部培訓與專案實戰，學習製造數據分析應用。
4. 其他主管交辦事項。",苗栗縣,數據分析工程師,14535114,24.7113363,120.9131721,"['數理統計相關', '工業工程相關', '其他數學及電算機科學相關']",碩士,無遠距,40000,0,500,數據分析,1,1,製造業,大型,不拘,
20250604,5,國立臺北科技大學,"作，成果應用於企業與政府智慧城市專案。加入我們，您將成為城市科學的先鋒，與世界領先的團隊共創未來！

【工作內容】
都市數據分析師運用數據分析與技術工具，解決城市規劃與治理挑戰，推動智慧城市發展。
1. 分析城市數據（如交通流量、土地使用、能源消耗",台北市,MITxTaipei Tech 都市數據分析師,13817654,25.0418021,121.5348869,[],大學,無遠距,40000,0,,數據分析,1,0,服務與專業顧問業,未知,不拘,
20250625,11,世銳顧問有限公司,"題，為客戶提供具有價值的服務並且協助推動客戶的財務成長。服務內容包括：
‧	打造具有吸引力和說服力的溝通素材
‧	視覺化數據和概念以增強觀眾參與度和理解
‧	進行臨床實驗數據分析和實驗設計
‧	製作具有最新數據與圖表的醫學文獻刊物
‧	研究、理解和",台北市,商業數據分析師,14079349,25.0533725,121.5228523,"['一般商業學類', '醫藥工程相關', '數理統計相關']",高中,無遠距,50000,1,20,數據分析,0,1,服務與專業顧問業,小型,不拘,"Excel, PowerPoint, Word"
20250714,9,臺灣中小企業銀行股份有限公司,"1.整合跨單位數據分析之需求專案與梳理。
2.透過應用SAS、R、Python等軟體洞察客戶行為找出特徵值或關鍵性因素，執行數據行
   為預測並建置模型，以應用於數位通路服務或行銷推展，創造營運績效。
3.進行大數據蒐集、定義、分析及應用，執行",台北市,數金部數據分析人員,12497431,25.0627243,121.5113064,[],大學,無遠距,37000,0,5200,數據分析,0,0,金融與保險業,大型,1年以上,
20250718,2,永慶房產集團_永慶房屋仲介股份有限公司,"1.利用數據分析解決商業問題
2.跨部門專案溝通合作
3.營運績效追蹤與評估
4.日常營運及管理報表製作
5.其他數據研究分析與簡報報告",台北市,數據分析師 E31,12418889,25.030284,121.549201,[],大學,無遠距,40000,0,3000,數據分析,0,0,服務與專業顧問業,大型,不拘,"MS SQL, Excel, PowerPoint, Word"
20250715,11,和泰聯網股份有限公司,"據洞察設計實驗（如 A/B Testing），透過數據分析驗證假設，並將過程與結果紀錄於雲端營運知識庫，提出具體改善方案。

2. 品類/品牌經營與會員策略：
結合數據洞察，與館長討論並規劃各品類、品牌的檔期活動及商品開發方向，提供選品建議、活動上",台北市,【電商】電商數據分析師,14738786,25.0656665,121.5335954,[],大學,無遠距,40000,1,120,數據分析,1,0,資訊科技業,中型,2年以上,"Google Analytics, Tableau, MySQL, Looker studio, Python"
20250715,3,舊振南食品股份有限公司,"1.收集、整理與分析業務數據，提供決策支持。
2.建立並維護商業智慧報表，提供可視化數據分析。
3.與業務部門合作，理解需求並轉化為數據分析任務。
4.持續優化數據分析流程，提高分析效率。
",高雄市,商業數據分析師（Business Data Analyst）,14599420,22.6223051,120.3893538,['其他數學及電算機科學相關'],大學,無遠距,35000,0,200,數據分析,0,1,製造業,大型,2年以上,"MS SQL, Power BI​"
20250717,2,國泰綜合證券股份有限公司,"【工作內容】 
1.透過數據分析深入了解客戶需求和業務痛點，提供數據洞察建議，並與行銷、平台和業務單位合作，提出解決方案並追蹤成效。
2.拆解業務目標成數據任務，建置和實施預測模型和推薦系統等數據挖掘應用。 
3.從分析需求中找出優化方向、資訊視",台北市,數據分析師(數據分析部)_I00007336,14320482,25.0219942,121.5491994,[],不拘,無遠距,40000,0,1100,數據分析,1,0,金融與保險業,大型,2年以上,
